x_mm,y_mm,start_layer,stop_layer,drill_mm,land_mm,net,type
5.430573,41.014995,L6,L5,.100,.250,GND,RF_FENCE
5.830573,41.014995,L6,L5,.100,.250,GND,RF_FENCE
3.645456,41.793833,L6,L5,.100,.250,GND,RF_FENCE
4.034930,41.884999,L6,L5,.100,.250,GND,RF_FENCE
4.434929,41.884999,L6,L5,.100,.250,GND,RF_FENCE
4.834928,41.884999,L6,L5,.100,.250,GND,RF_FENCE
5.234927,41.884999,L6,L5,.100,.250,GND,RF_FENCE
5.634926,41.884999,L6,L5,.100,.250,GND,RF_FENCE
6.034926,41.884999,L6,L5,.100,.250,GND,RF_FENCE
15.368001,27.574999,L6,L5,.100,.250,GND,RF_FENCE
14.968002,27.574999,L6,L5,.100,.250,GND,RF_FENCE
14.568002,27.574999,L6,L5,.100,.250,GND,RF_FENCE
14.168003,27.574999,L6,L5,.100,.250,GND,RF_FENCE
13.885007,27.857689,L6,L5,.100,.250,GND,RF_FENCE
15.368001,26.704999,L6,L5,.100,.250,GND,RF_FENCE
14.968002,26.704999,L6,L5,.100,.250,GND,RF_FENCE
14.568002,26.704999,L6,L5,.100,.250,GND,RF_FENCE
14.168003,26.704999,L6,L5,.100,.250,GND,RF_FENCE
13.768004,26.704999,L6,L5,.100,.250,GND,RF_FENCE
13.380596,26.804574,L6,L5,.100,.250,GND,RF_FENCE
13.102539,27.092123,L6,L5,.100,.250,GND,RF_FENCE
13.015001,27.482427,L6,L5,.100,.250,GND,RF_FENCE
16.835001,35.371999,L6,L5,.100,.250,GND,RF_FENCE
16.835001,35.771999,L6,L5,.100,.250,GND,RF_FENCE
16.835001,36.171998,L6,L5,.100,.250,GND,RF_FENCE
16.835001,36.571997,L6,L5,.100,.250,GND,RF_FENCE
16.835001,36.971996,L6,L5,.100,.250,GND,RF_FENCE
16.835001,37.371995,L6,L5,.100,.250,GND,RF_FENCE
16.835001,37.771995,L6,L5,.100,.250,GND,RF_FENCE
16.828676,38.171945,L6,L5,.100,.250,GND,RF_FENCE
16.670386,38.539293,L6,L5,.100,.250,GND,RF_FENCE
15.965000,35.371999,L6,L5,.100,.250,GND,RF_FENCE
15.965000,35.771999,L6,L5,.100,.250,GND,RF_FENCE
15.965000,36.171998,L6,L5,.100,.250,GND,RF_FENCE
15.965000,36.571997,L6,L5,.100,.250,GND,RF_FENCE
15.965000,36.971996,L6,L5,.100,.250,GND,RF_FENCE
15.965000,37.371995,L6,L5,.100,.250,GND,RF_FENCE
15.965000,37.771995,L6,L5,.100,.250,GND,RF_FENCE
15.834655,38.150160,L6,L5,.100,.250,GND,RF_FENCE
12.108574,50.864994,L6,L5,.100,.250,GND,RF_FENCE
12.508573,50.864994,L6,L5,.100,.250,GND,RF_FENCE
12.908572,50.864994,L6,L5,.100,.250,GND,RF_FENCE
13.308571,50.864994,L6,L5,.100,.250,GND,RF_FENCE
13.708570,50.864996,L6,L5,.100,.250,GND,RF_FENCE
14.108570,50.864996,L6,L5,.100,.250,GND,RF_FENCE
14.508569,50.864996,L6,L5,.100,.250,GND,RF_FENCE
14.908568,50.864996,L6,L5,.100,.250,GND,RF_FENCE
15.308567,50.864999,L6,L5,.100,.250,GND,RF_FENCE
15.708566,50.864999,L6,L5,.100,.250,GND,RF_FENCE
15.964995,50.558007,L6,L5,.100,.250,GND,RF_FENCE
15.964995,50.158007,L6,L5,.100,.250,GND,RF_FENCE
10.752310,51.490159,L6,L5,.100,.250,GND,RF_FENCE
11.090105,51.704390,L6,L5,.100,.250,GND,RF_FENCE
11.488933,51.734999,L6,L5,.100,.250,GND,RF_FENCE
11.888932,51.734999,L6,L5,.100,.250,GND,RF_FENCE
12.288931,51.734999,L6,L5,.100,.250,GND,RF_FENCE
12.688931,51.734999,L6,L5,.100,.250,GND,RF_FENCE
13.088930,51.734999,L6,L5,.100,.250,GND,RF_FENCE
13.488929,51.734999,L6,L5,.100,.250,GND,RF_FENCE
13.888928,51.734999,L6,L5,.100,.250,GND,RF_FENCE
14.288927,51.734999,L6,L5,.100,.250,GND,RF_FENCE
14.688927,51.734999,L6,L5,.100,.250,GND,RF_FENCE
15.088926,51.734999,L6,L5,.100,.250,GND,RF_FENCE
15.488925,51.734999,L6,L5,.100,.250,GND,RF_FENCE
15.888924,51.734999,L6,L5,.100,.250,GND,RF_FENCE
16.288174,51.710504,L6,L5,.100,.250,GND,RF_FENCE
16.632387,51.506745,L6,L5,.100,.250,GND,RF_FENCE
16.818920,51.152900,L6,L5,.100,.250,GND,RF_FENCE
16.835001,50.753223,L6,L5,.100,.250,GND,RF_FENCE
